ID,Name,Age,Height,Nationality,Position,Agent,N_internacional_games,N_internacional_goals,years_left_in_contrat,Preferred_foot,Team,League,Value
32,Danny Loader,21,1.82,Inglaterra,Ponta de Lança,N.E.,9,1,3,direito,FC Porto,Liga Portugal Bwin,2000000
33,Antonio Adán,35,1.9,Espanha,Guarda-Redes,N.E.,1,0,2,esquerdo,Sporting CP,Liga Portugal Bwin,2500000
34,Franco Israel,22,1.9,Uruguai,Guarda-Redes,N.E.,14,0,5,direito,Sporting CP,Liga Portugal Bwin,1000000
35,Renan Ribeiro,32,1.93,Brasil,Guarda-Redes,TFM Agency,0,0,1,direito,Sporting CP,Liga Portugal Bwin,500000
36,André Paulo,25,1.88,Portugal,Guarda-Redes,N.E.,,,1,direito,Sporting CP,Liga Portugal Bwin,100000
37,Gonçalo Inácio,20,1.85,Portugal,Defesa Central,MRP.POSITIONUMBER,4,1,4,esquerdo,Sporting CP,Liga Portugal Bwin,23000000
38,Jeremiah St. Juste,25,1.86,Holanda,Defesa Central,N.E.,0,0,4,direito,Sporting CP,Liga Portugal Bwin,16000000
39,Sebastián Coates,31,1.96,Uruguai,Defesa Central,N.E.,47,1,1,direito,Sporting CP,Liga Portugal Bwin,8000000
40,Eduardo Quaresma,20,1.85,Portugal,Defesa Central,Unique Sports Group,8,0,3,,Sporting CP,Liga Portugal Bwin,4000000
41,Luís Neto,34,1.85,Portugal,Defesa Central,N.E.,19,0,1,direito,Sporting CP,Liga Portugal Bwin,1500000
42,Tiago Ilori,29,1.9,Portugal,Defesa Central,N.E.,10,1,2,direito,Sporting CP,Liga Portugal Bwin,700000
43,Matheus Reis,27,1.84,Brasil,Lateral Esquerdo,ADM Esporte,,,3,esquerdo,Sporting CP,Liga Portugal Bwin,8000000
44,Rúben Vinagre,23,1.74,Portugal,Lateral Esquerdo,N.E.,4,0,4,esquerdo,Sporting CP,Liga Portugal Bwin,5000000
45,Pedro Porro,22,1.76,Espanha,Lateral Direito,N.E.,1,0,3,direito,Sporting CP,Liga Portugal Bwin,25000000
46,Ricardo Esgaio,29,1.72,Portugal,Lateral Direito,Proeleven S.A.,1,0,4,direito,Sporting CP,Liga Portugal Bwin,5000000
47,Manuel Ugarte,21,1.82,Uruguai,Médio Defensivo,Gestifute,5,0,4,direito,Sporting CP,Liga Portugal Bwin,15000000
48,Hidemasa Morita,27,1.77,Japão,Médio Defensivo,N.E.,16,2,4,direito,Sporting CP,Liga Portugal Bwin,4000000
49,Eduardo Henrique,27,1.86,Brasil,Médio Defensivo,N.E.,0,0,2,direito,Sporting CP,Liga Portugal Bwin,2000000
50,Rodrigo Battaglia,30,1.87,Argentina,Médio Defensivo,N.E.,2,0,1,direito,Sporting CP,Liga Portugal Bwin,1800000
51,Idrissa Doumbia,24,1.87,Costa do Marfim,Médio Defensivo,N.E.,0,0,2,direito,Sporting CP,Liga Portugal Bwin,1700000
52,Matheus Nunes,23,1.83,Portugal,Médio Centro,N.E.,8,1,4,direito,Sporting CP,Liga Portugal Bwin,35000000
53,Daniel Bragança,23,1.69,Portugal,Médio Centro,Gestifute,13,0,3,esquerdo,Sporting CP,Liga Portugal Bwin,7000000
54,Rochinha,27,1.69,Portugal,Avançado,N.E.,5,0,4,direito,Sporting CP,Liga Portugal Bwin,3000000
55,Pedro Gonçalves,24,1.73,Portugal,Extremo Esquerdo,N.E.,2,0,4,direito,Sporting CP,Liga Portugal Bwin,30000000
56,Nuno Santos,27,1.77,Portugal,Extremo Esquerdo,N.E.,2,0,3,esquerdo,Sporting CP,Liga Portugal Bwin,8000000
57,Jovane Cabral,24,1.74,Cabo Verde,Extremo Esquerdo,N.E.,5,1,1,direito,Sporting CP,Liga Portugal Bwin,5500000
58,Marcus Edwards,23,1.68,Inglaterra,Extremo Direito,ARETÉ,8,2,4,esquerdo,Sporting CP,Liga Portugal Bwin,15000000
59,Gonzalo Plata,21,1.78,Equador,Extremo Direito,N.E.,28,5,2,esquerdo,Sporting CP,Liga Portugal Bwin,6000000
60,Tabata,25,1.75,Brasil,Extremo Direito,D20 Sports,7,1,3,esquerdo,Sporting CP,Liga Portugal Bwin,4000000
61,Paulinho,29,1.87,Portugal,Ponta de Lança,N.E.,3,2,4,esquerdo,Sporting CP,Liga Portugal Bwin,13000000
62,Andraz Sporar,28,1.86,Eslovénia,Ponta de Lança,N.E.,39,5,3,direito,Sporting CP,Liga Portugal Bwin,4500000
63,Luiz Phellype,28,1.88,Brasil,Ponta de Lança,N.E.,,,2,direito,Sporting CP,Liga Portugal Bwin,1500000
64,Islam Slimani,34,1.88,Argélia,Ponta de Lança,P&P Sport ...,88,41,1,direito,Sporting CP,Liga Portugal Bwin,1500000
65,Pedro Mendes,22,1.87,Portugal,Ponta de Lança,N.E.,2,0,1,direito,Sporting CP,Liga Portugal Bwin,700000
66,Odysseas Vlachodimos,28,1.91,Grécia,Guarda-Redes,N.E.,27,0,2,direito,SL Benfica,Liga Portugal Bwin,15000000
67,Helton Leite,31,1.96,Brasil,Guarda-Redes,N.E.,,,3,direito,SL Benfica,Liga Portugal Bwin,3000000
68,Lucas Veríssimo,27,1.88,Brasil,Defesa Central,N.E.,2,0,3,direito,SL Benfica,Liga Portugal Bwin,10000000
69,Morato,21,1.92,Brasil,Defesa Central,N.E.,0,0,2,esquerdo,SL Benfica,Liga Portugal Bwin,10000000
70,João Victor,23,1.87,Brasil,Defesa Central,N.E.,,,5,direito,SL Benfica,Liga Portugal Bwin,8000000
71,Ferro,25,1.91,Portugal,Defesa Central,N.E.,0,0,2,direito,SL Benfica,Liga Portugal Bwin,3500000
72,Nicolás Otamendi,34,1.83,Argentina,Defesa Central,Gestifute,91,4,1,direito,SL Benfica,Liga Portugal Bwin,3500000
73,Jan Vertonghen,35,1.89,Bélgica,Defesa Central,N.E.,139,9,1,,SL Benfica,Liga Portugal Bwin,2000000
74,Alejandro Grimaldo,26,1.71,Espanha,Lateral Esquerdo,N.E.,2,0,1,esquerdo,SL Benfica,Liga Portugal Bwin,20000000
75,Mihailo Ristic,26,1.8,Sérvia,Lateral Esquerdo,N.E.,7,0,4,esquerdo,SL Benfica,Liga Portugal Bwin,3500000
76,Alexander Bah,24,1.83,Dinamarca,Lateral Direito,N.E.,3,1,5,direito,SL Benfica,Liga Portugal Bwin,7000000
77,Gilberto,29,1.81,Brasil,Lateral Direito,N.E.,4,0,3,direito,SL Benfica,Liga Portugal Bwin,5000000
78,André Almeida,31,1.85,Portugal,Lateral Direito,N.E.,8,0,1,direito,SL Benfica,Liga Portugal Bwin,1500000
79,Julian Weigl,26,1.86,Alemanha,Médio Defensivo,Sports360 GmbH,6,0,2,,SL Benfica,Liga Portugal Bwin,22000000
80,Florentino,22,1.84,Portugal,Médio Defensivo,N.E.,12,0,2,direito,SL Benfica,Liga Portugal Bwin,5000000
81,João Mário,29,1.79,Portugal,Médio Centro,P&P Sport ...,50,2,4,,SL Benfica,Liga Portugal Bwin,10000000
82,Gabriel Pires,28,1.86,Brasil,Médio Centro,N.E.,,,2,esquerdo,SL Benfica,Liga Portugal Bwin,5000000
83,Soualiho Meïté,28,1.87,França,Médio Centro,VV Consulting,2,1,4,direito,SL Benfica,Liga Portugal Bwin,5000000
84,Paulo Bernardo,20,1.84,Portugal,Médio Centro,MRP.POSITIONUMBER,9,2,5,direito,SL Benfica,Liga Portugal Bwin,5000000
85,Adel Taarabt,33,1.78,Marrocos,Médio Centro,N.E.,30,4,1,direito,SL Benfica,Liga Portugal Bwin,2500000
86,Rafa Silva,29,1.7,Portugal,Médio Direito,N.E.,25,0,2,,SL Benfica,Liga Portugal Bwin,20000000
87,Diogo Gonçalves,25,1.78,Portugal,Médio Direito,N.E.,13,8,3,direito,SL Benfica,Liga Portugal Bwin,5000000
88,Gil Dias,25,1.86,Portugal,Médio Esquerdo,N.E.,10,2,4,esquerdo,SL Benfica,Liga Portugal Bwin,3000000
89,Chiquinho,26,1.74,Portugal,Médio Ofensivo,N.E.,,,2,direito,SL Benfica,Liga Portugal Bwin,4500000
90,Pizzi,32,1.77,Portugal,Médio Ofensivo,Gestifute,17,3,1,direito,SL Benfica,Liga Portugal Bwin,4000000
91,Nuno Santos,23,1.79,Portugal,Médio Ofensivo,N.E.,3,0,2,direito,SL Benfica,Liga Portugal Bwin,2500000
92,David Neres,25,1.76,Brasil,Extremo Direito,N.E.,7,1,5,esquerdo,SL Benfica,Liga Portugal Bwin,20000000
93,Gonçalo Ramos,21,1.85,Portugal,Segundo Avançado,N.E.,18,14,4,direito,SL Benfica,Liga Portugal Bwin,14000000
94,Roman Yaremchuk,26,1.91,Ucrânia,Ponta de Lança,N.E.,39,13,4,direito,SL Benfica,Liga Portugal Bwin,15000000
95,Haris Seferovic,30,1.86,Suiça,Ponta de Lança,LIAN Sports Group,86,25,2,,SL Benfica,Liga Portugal Bwin,8000000
96,Petar Musa,24,1.9,Croácia,Ponta de Lança,N.E.,0,0,5,direito,SL Benfica,Liga Portugal Bwin,5000000
97,Rodrigo Pinho,31,1.85,Brasil,Ponta de Lança,Marcio Bittencourt ...,,,4,esquerdo,SL Benfica,Liga Portugal Bwin,2000000
98,Matheus,29,1.9,Brasil,Guarda-Redes,N.E.,,,5,direito,SC Braga,Liga Portugal Bwin,6000000
99,Tiago Sá,27,1.86,Portugal,Guarda-Redes,N.E.,3,0,1,direito,SC Braga,Liga Portugal Bwin,800000
100,Sikou Niakaté,22,1.86,França,Defesa,N.E.,1,0,1,esquerdo,SC Braga,Liga Portugal Bwin,1800000
101,Paulo Oliveira,30,1.87,Portugal,Defesa Central,N.E.,1,0,3,direito,SC Braga,Liga Portugal Bwin,4000000
102,Vítor Tormena,26,1.92,Brasil,Defesa Central,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,3000000
103,Bruno Rodrigues,21,1.92,Portugal,Defesa Central,N.E.,0,0,3,direito,SC Braga,Liga Portugal Bwin,2000000
104,Pablo Santos,30,1.88,Brasil,Defesa Central,N.E.,,,1,esquerdo,SC Braga,Liga Portugal Bwin,1000000
105,Francisco Moura,22,1.81,Portugal,Lateral Esquerdo,Proeleven S.A.,10,0,4,esquerdo,SC Braga,Liga Portugal Bwin,4000000
106,Cristian Borja,29,1.8,Colômbia,Lateral Esquerdo,N.E.,5,0,3,esquerdo,SC Braga,Liga Portugal Bwin,3000000
107,Nuno Sequeira,31,1.84,Portugal,Lateral Esquerdo,MRP.POSITIONUMBER,0,0,2,esquerdo,SC Braga,Liga Portugal Bwin,2500000
108,Víctor Gómez,22,1.69,Espanha,Lateral Direito,N.E.,4,1,1,direito,SC Braga,Liga Portugal Bwin,2500000
109,Fabiano Silva,22,1.75,Brasil,Lateral Direito,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,2500000
110,Zé Carlos,23,1.77,Portugal,Lateral Direito,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,1500000
111,Tiago Esgaio,26,1.75,Portugal,Lateral Direito,Proeleven S.A.,,,3,direito,SC Braga,Liga Portugal Bwin,500000
112,Al Musrati,26,1.89,Líbia,Médio Defensivo,N.E.,40,2,2,direito,SC Braga,Liga Portugal Bwin,12000000
113,Lucas Mineiro,26,1.88,Brasil,Médio Defensivo,N.E.,,,3,esquerdo,SC Braga,Liga Portugal Bwin,2000000
114,Jean-Baptiste Gorby,19,1.81,França,Médio Defensivo,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,500000
115,André Horta,25,1.75,Portugal,Médio Centro,Proeleven S.A.,9,3,5,direito,SC Braga,Liga Portugal Bwin,5000000
116,João Novais,28,1.8,Portugal,Médio Centro,MRP.POSITIONUMBER,0,0,1,direito,SC Braga,Liga Portugal Bwin,3000000
117,André Castro,34,1.81,Portugal,Médio Centro,N.E.,3,1,1,direito,SC Braga,Liga Portugal Bwin,500000
118,Rodrigo Gomes,19,1.75,Portugal,Médio Esquerdo,N.E.,6,0,4,direito,SC Braga,Liga Portugal Bwin,3000000
119,Álvaro Djaló,22,1.76,Espanha,Médio Esquerdo,N.E.,,,3,esquerdo,SC Braga,Liga Portugal Bwin,325000
120,Eduardo,29,1.78,Brasil,Médio Ofensivo,N.E.,0,0,1,esquerdo,SC Braga,Liga Portugal Bwin,300000
121,Ricardo Horta,27,1.73,Portugal,Extremo Esquerdo,Proeleven S.A.,4,1,4,direito,SC Braga,Liga Portugal Bwin,20000000
122,Roger Fernandes,16,1.7,Portugal,Extremo Esquerdo,N.E.,,,2,esquerdo,SC Braga,Liga Portugal Bwin,4000000
123,Iuri Medeiros,27,1.74,Portugal,Extremo Direito,MRP.POSITIONUMBER,0,0,4,esquerdo,SC Braga,Liga Portugal Bwin,6000000
124,Abel Ruiz,22,1.8,Espanha,Ponta de Lança,N.E.,15,7,3,direito,SC Braga,Liga Portugal Bwin,7000000
125,Vitinha,22,1.83,Portugal,Ponta de Lança,N.E.,4,3,2,direito,SC Braga,Liga Portugal Bwin,6000000
126,Mario González,26,1.83,Espanha,Ponta de Lança,N.E.,3,1,3,direito,SC Braga,Liga Portugal Bwin,3000000
127,Guilherme Schettine,26,1.8,Brasil,Ponta de Lança,N.E.,,,3,direito,SC Braga,Liga Portugal Bwin,900000
128,Miguel Falé,18,1.78,Portugal,Ponta de Lança,N.E.,3,0,5,direito,SC Braga,Liga Portugal Bwin,500000
129,Bruno Varela,27,1.91,Portugal,Guarda-Redes,N.E.,0,0,2,direito,Vitória SC,Liga Portugal Bwin,4000000
130,Matous Trmal,23,1.92,República Checa,Guarda-Redes,N.E.,5,0,3,,Vitória SC,Liga Portugal Bwin,2000000
131,Celton Biai,21,1.86,Portugal,Guarda-Redes,N.E.,6,0,2,direito,Vitória SC,Liga Portugal Bwin,500000
132,Antal Bencze,20,1.9,Hungria,Guarda-Redes,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,200000
133,Abdul Mumin,24,1.88,Gana,Defesa Central,N.E.,0,0,2,direito,Vitória SC,Liga Portugal Bwin,3000000
134,Jorge Fernandes,25,1.91,Portugal,Defesa Central,N.E.,9,0,3,direito,Vitória SC,Liga Portugal Bwin,2000000
135,André Amaro,19,1.86,Portugal,Defesa Central,MRP.POSITIONUMBER,9,0,3,direito,Vitória SC,Liga Portugal Bwin,1500000
136,Mikel Villanueva,29,1.92,Venezuela,Defesa Central,N.E.,32,2,3,esquerdo,Vitória SC,Liga Portugal Bwin,1000000
137,Maxwell Woledzi,21,1.89,Gana,Defesa Central,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,400000
138,Easah Suliman,24,1.88,Inglaterra,Defesa Central,SEG,10,2,2,direito,Vitória SC,Liga Portugal Bwin,350000
139,Ryoya Ogawa,25,1.83,Japão,Lateral Esquerdo,N.E.,5,0,1,esquerdo,Vitória SC,Liga Portugal Bwin,900000
140,Hélder Sá,19,1.86,Portugal,Lateral Esquerdo,N.E.,6,0,3,esquerdo,Vitória SC,Liga Portugal Bwin,800000
141,Maga,19,1.75,Portugal,Lateral Direito,N.E.,3,0,3,direito,Vitória SC,Liga Portugal Bwin,2000000
142,Bruno Gaspar,29,1.8,Angola,Lateral Direito,Proeleven S.A.,3,0,4,direito,Vitória SC,Liga Portugal Bwin,700000
143,Tomás Händel,21,1.8,Portugal,Médio Defensivo,N.E.,3,0,4,esquerdo,Vitória SC,Liga Portugal Bwin,3000000
144,Alfa Semedo,24,1.89,Guiné Bissau,Médio Defensivo,Sferico Sports ...,13,2,4,direito,Vitória SC,Liga Portugal Bwin,1500000
145,Matheus Índio,22,1.82,Brasil,Médio Defensivo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,500000
146,Ibrahima Bamba,20,1.84,Itália,Médio Defensivo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,500000
147,André Almeida,22,1.76,Portugal,Médio Centro,N.E.,7,1,1,direito,Vitória SC,Liga Portugal Bwin,5000000
148,André André,32,1.74,Portugal,Médio Centro,N.E.,4,1,2,direito,Vitória SC,Liga Portugal Bwin,2000000
149,Nicolas Janvier,23,1.72,França,Médio Centro,N.E.,3,0,2,direito,Vitória SC,Liga Portugal Bwin,1000000
150,Tiago Silva,29,1.72,Portugal,Médio Ofensivo,N.E.,5,0,4,direito,Vitória SC,Liga Portugal Bwin,1500000
151,Jacob Maddox,23,1.79,Inglaterra,Médio Ofensivo,Unique Sports Group,2,0,2,direito,Vitória SC,Liga Portugal Bwin,500000
152,Jota Silva,22,1.79,Portugal,Extremo Esquerdo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,750000
153,Nélson Luz,24,1.77,Angola,Extremo Esquerdo,N.E.,11,0,3,esquerdo,Vitória SC,Liga Portugal Bwin,300000
154,Rúben Lameiras,27,1.74,Portugal,Extremo Direito,Gestifute,,,2,esquerdo,Vitória SC,Liga Portugal Bwin,1500000
155,Anderson Silva,24,1.86,Brasil,Ponta de Lança,MRP.POSITIONUMBER,,,3,direito,Vitória SC,Liga Portugal Bwin,1500000
156,Bruno Duarte,26,1.82,Brasil,Ponta de Lança,N.E.,,,1,direito,Vitória SC,Liga Portugal Bwin,1500000
157,Herculano Nabian,18,1.82,Portugal,Ponta de Lança,N.E.,9,2,1,direito,Vitória SC,Liga Portugal Bwin,500000
158,Luiz Júnior,21,1.92,Brasil,Guarda-Redes,N.E.,0,0,4,esquerdo,FC Famalicão,Liga Portugal Bwin,3000000
159,Ivan Zlobin,25,1.91,Rússia,Guarda-Redes,N.E.,1,0,3,direito,FC Famalicão,Liga Portugal Bwin,400000
160,Dalberson,25,1.91,Brasil,Guarda-Redes,N.E.,,,2,esquerdo,FC Famalicão,Liga Portugal Bwin,200000
161,Alexandre Penetra,20,1.86,Portugal,Defesa Central,N.E.,3,0,4,direito,FC Famalicão,Liga Portugal Bwin,3000000
162,Riccieli,23,1.84,Brasil,Defesa Central,D20 Sports,,,3,direito,FC Famalicão,Liga Portugal Bwin,1500000
163,Patrick William,25,1.87,Brasil,Defesa Central,N.E.,,,2,direito,FC Famalicão,Liga Portugal Bwin,1000000
164,Diogo Queirós,23,1.85,Portugal,Defesa Central,Gestifute,16,4,1,direito,FC Famalicão,Liga Portugal Bwin,1000000
165,Dylan Batubinsika,26,1.88,França,Defesa Central,N.E.,5,1,3,direito,FC Famalicão,Liga Portugal Bwin,700000
166,Rúben Lima,32,1.77,Portugal,Lateral Esquerdo,N.E.,13,0,2,esquerdo,FC Famalicão,Liga Portugal Bwin,200000
